policy,real_ce_utility,raw_utility,nominal_return,real_return,annual_var,annual_vol,concentration,weight_BND,weight_VTI,weight_VXUS,cash_weight
cash/stable value,0.005679612020820013,0.03585000038144459,0.03585000038144459,0.005679612020820013,0.0,0.0,1.0,0.0,0.0,0.0,1.0
all T-bill,0.005679612020820013,0.03585000038144459,0.03585000038144459,0.005679612020820013,0.0,0.0,1.0,0.0,0.0,0.0,1.0
all BND,0.03196155289111122,0.06301758575852501,0.06625712844787693,0.03520109558046314,0.0021596951262346136,0.04647252011925557,1.0,1.0,0.0,0.0,0.0
all VTI,0.19948742578768622,0.23680387908505682,0.28119822987638815,0.24388177657901755,0.029596233860887552,0.17203555987320632,1.0,0.0,1.0,0.0,0.0
Bogleheads 40/40/20,0.15561654657208046,0.19102185577063677,0.21558228248376307,0.18017697328520677,0.016373617808750865,0.12795943813861824,0.3600000000000001,0.2,0.4,0.4,0.0
current 55/20/15/10,0.1428676677641297,0.17783237342715438,0.200454894430516,0.16549018876749133,0.015081680668907744,0.12280749435155716,0.3750000000000001,0.15,0.55,0.2,0.1
Robust Merton/CAL recommendation,0.16997780702563517,0.20602375307395918,0.23757748099245934,0.20153153494413534,0.02103581861233345,0.14503730076202276,0.5040616111214062,0.030355125566600978,0.6690768292523205,0.222067722477477,0.07850032270360152
